block_num	block_type	block_subtype	task_name	regime_num	task_params	saturation	exp_to_sat	term_perf	exp_to_term_perf	avg_perf	run_id
0	test	wake	task1_1	0	"{""name"": ""task1_1"", ""min_..."	1.0	0	1.0	10	1.0	multi_task
0	test	wake	task2_1	1	"{""name"": ""task2_1"", ""min_..."	1.0	0	1.0	10	1.0	multi_task
0	test	wake	task3_1	2	"{""name"": ""task3_1"", ""min_..."	1.0	0	1.0	10	1.0	multi_task
1	train	wake	task1_1	3	"{""name"": ""task1_1"", ""min_..."	66.41937037844555	99	66.56131486166308	95	36.04980450660429	multi_task
2	test	wake	task1_1	4	"{""name"": ""task1_1"", ""min_..."	71.4043853637874	0	71.40438536378741	10	71.40438536378741	multi_task
2	test	wake	task2_1	5	"{""name"": ""task2_1"", ""min_..."	24.672398973984087	0	24.67239897398408	10	24.67239897398408	multi_task
2	test	wake	task3_1	6	"{""name"": ""task3_1"", ""min_..."	3.665363680488534	0	3.6653636804885346	10	3.6653636804885346	multi_task
3	train	wake	task2_1	7	"{""name"": ""task2_1"", ""min_..."	59.96657971396931	87	59.736379926200605	95	46.89286526419057	multi_task
4	test	wake	task1_1	8	"{""name"": ""task1_1"", ""min_..."	84.50766935309096	0	84.50766935309096	10	84.50766935309096	multi_task
4	test	wake	task2_1	9	"{""name"": ""task2_1"", ""min_..."	59.724563080624	0	59.724563080624	10	59.724563080624	multi_task
4	test	wake	task3_1	10	"{""name"": ""task3_1"", ""min_..."	35.01082942915296	0	35.01082942915296	10	35.01082942915296	multi_task
5	train	wake	task3_1	11	"{""name"": ""task3_1"", ""min_..."	75.17165191966862	99	75.30848857230852	95	57.933633610159795	multi_task
6	test	wake	task1_1	12	"{""name"": ""task1_1"", ""min_..."	81.37853127245903	0	81.37853127245901	10	81.37853127245901	multi_task
6	test	wake	task2_1	13	"{""name"": ""task2_1"", ""min_..."	72.57378365482906	0	72.57378365482904	10	72.57378365482904	multi_task
6	test	wake	task3_1	14	"{""name"": ""task3_1"", ""min_..."	78.14404937885213	0	78.14404937885212	10	78.14404937885212	multi_task
7	train	wake	task1_1	15	"{""name"": ""task1_1"", ""min_..."	95.42247896476263	99	95.42808070442695	95	90.05780444571023	multi_task
8	test	wake	task1_1	16	"{""name"": ""task1_1"", ""min_..."	95.25126208054726	0	95.25126208054728	10	95.25126208054728	multi_task
8	test	wake	task2_1	17	"{""name"": ""task2_1"", ""min_..."	76.61310468565678	0	76.61310468565677	10	76.61310468565677	multi_task
8	test	wake	task3_1	18	"{""name"": ""task3_1"", ""min_..."	81.90097927855169	0	81.90097927855167	10	81.90097927855167	multi_task
9	train	wake	task2_1	19	"{""name"": ""task2_1"", ""min_..."	93.60276050452562	99	93.62110560047643	95	85.07832566051212	multi_task
10	test	wake	task1_1	20	"{""name"": ""task1_1"", ""min_..."	97.16038470479548	0	97.16038470479546	10	97.16038470479546	multi_task
10	test	wake	task2_1	21	"{""name"": ""task2_1"", ""min_..."	94.04813399199486	0	94.04813399199483	10	94.04813399199483	multi_task
10	test	wake	task3_1	22	"{""name"": ""task3_1"", ""min_..."	84.15597450324488	0	84.15597450324486	10	84.15597450324486	multi_task
11	train	wake	task3_1	23	"{""name"": ""task3_1"", ""min_..."	97.42017327798665	99	97.42957843250558	95	92.95591316360982	multi_task
12	test	wake	task1_1	24	"{""name"": ""task1_1"", ""min_..."	94.91628656981484	0	94.91628656981486	10	94.91628656981486	multi_task
12	test	wake	task2_1	25	"{""name"": ""task2_1"", ""min_..."	96.70619900754212	0	96.70619900754214	10	96.70619900754214	multi_task
12	test	wake	task3_1	26	"{""name"": ""task3_1"", ""min_..."	97.15527277119814	0	97.15527277119813	10	97.15527277119813	multi_task
13	train	wake	task1_1	27	"{""name"": ""task1_1"", ""min_..."	99.19464306272911	99	99.20153414645733	95	97.08502172490904	multi_task
14	test	wake	task1_1	28	"{""name"": ""task1_1"", ""min_..."	99.32619662389195	0	99.32619662389195	10	99.32619662389195	multi_task
14	test	wake	task2_1	29	"{""name"": ""task2_1"", ""min_..."	98.16209639496059	0	98.16209639496059	10	98.16209639496059	multi_task
14	test	wake	task3_1	30	"{""name"": ""task3_1"", ""min_..."	96.78069586840928	0	96.7806958684093	10	96.7806958684093	multi_task
15	train	wake	task2_1	31	"{""name"": ""task2_1"", ""min_..."	100.57427267117326	99	100.57637439908429	95	99.6364716874517	multi_task
16	test	wake	task1_1	32	"{""name"": ""task1_1"", ""min_..."	99.50683216263188	0	99.50683216263187	10	99.50683216263187	multi_task
16	test	wake	task2_1	33	"{""name"": ""task2_1"", ""min_..."	100.65006172518575	0	100.65006172518574	10	100.65006172518574	multi_task
16	test	wake	task3_1	34	"{""name"": ""task3_1"", ""min_..."	97.37760068626737	0	97.37760068626739	10	97.37760068626739	multi_task
17	train	wake	task3_1	35	"{""name"": ""task3_1"", ""min_..."	99.0523834895314	99	99.06579801117549	95	98.22960632260356	multi_task
18	test	wake	task1_1	36	"{""name"": ""task1_1"", ""min_..."	98.39749365124074	0	98.39749365124072	10	98.39749365124072	multi_task
18	test	wake	task2_1	37	"{""name"": ""task2_1"", ""min_..."	100.65707475636053	0	100.65707475636053	10	100.65707475636053	multi_task
18	test	wake	task3_1	38	"{""name"": ""task3_1"", ""min_..."	99.26050068055487	0	99.26050068055488	10	99.26050068055488	multi_task
19	train	wake	task1_1	39	"{""name"": ""task1_1"", ""min_..."	100.69112348242855	99	100.69429080032525	95	100.07163455475515	multi_task
20	test	wake	task1_1	40	"{""name"": ""task1_1"", ""min_..."	100.74594650152008	0	100.7459465015201	10	100.7459465015201	multi_task
20	test	wake	task2_1	41	"{""name"": ""task2_1"", ""min_..."	100.67442641794875	0	100.67442641794875	10	100.67442641794875	multi_task
20	test	wake	task3_1	42	"{""name"": ""task3_1"", ""min_..."	100.45559098849186	0	100.45559098849186	10	100.45559098849186	multi_task
21	train	wake	task2_1	43	"{""name"": ""task2_1"", ""min_..."	100.98753623259236	99	100.98784893851595	95	100.89413940692756	multi_task
22	test	wake	task1_1	44	"{""name"": ""task1_1"", ""min_..."	101.0	0	101.0	10	101.0	multi_task
22	test	wake	task2_1	45	"{""name"": ""task2_1"", ""min_..."	101.0	0	101.0	10	101.0	multi_task
22	test	wake	task3_1	46	"{""name"": ""task3_1"", ""min_..."	100.7297205185635	0	100.72972051856348	10	100.72972051856348	multi_task
23	train	wake	task3_1	47	"{""name"": ""task3_1"", ""min_..."	100.99708507515099	99	100.99753442643075	95	100.89556263446526	multi_task
